"Numer zezwolenia","Nazwa firmy","Kod pocztowy",Miejscowość,Adres,Województwo,"Data ważności"
299/24,"ORLEN  Spółka Akcyjna",09-411,"Płock-Biała, Płock","ul. Chemików 7","WOJ. MAZOWIECKIE",2025-12-02
300/24,"PRZEDSIĘBIORSTWO HANDLOWE   ""GALICJA"" MTM Ścianek  Spółka Jawna",33-300,"Nowy Sącz","ul. Zawiszy Czarnego 35 ","WOJ. MAŁOPOLSKIE",2025-12-08
301/24,"Przedsiębiorstwo Handlowo-Usługowe ""KORTALS"" Dariusz  Kortals",84-120,Władysławowo,"ul. Gdańska 10","WOJ. POMORSKIE",2025-11-08
302/24,"Centrum owoców i warzyw   ""AWOKADO""   Mariola Borek",06-100,Pułtusk,"ul. Adama Mickiewicza 37c ","WOJ. MAZOWIECKIE",2025-10-31
303/24,"FUNDACJA BONI MORES",64-316,Kuślin,"Dąbrowa 44","WOJ. WIELKOPOLSKIE",2025-10-31
304/24,"TOTAL-HANDEL  Spółka z ograniczoną odpowiedzialnością",83-200,"Starogard Gdański","ul. Droga Owidzka 1 ","WOJ. POMORSKIE",2025-11-14
305/24,"POLMOS BIELSKO-BIAŁA   SPÓŁKA AKCYJNA",43-316,Bielsko-Biała,"ul. Karpacka 11 ","WOJ. ŚLĄSKIE",2025-11-20
306/24,"""STOKROTKA""  Spółka z ograniczoną odpowiedzialnością",20-209,Lublin,"ul. Projektowa 1 ","WOJ. LUBELSKIE",2025-11-14
307/24,"Whisky Embassy Spółka z ograniczoną odpowiedzialnością",61-131,Poznań,"ul. Katowicka 79A/101","WOJ. WIELKOPOLSKIE",2025-11-01
308/24,"Przedsiębiorstwo Handlowo-Usługowe  GIG  ANDRZEJ GRZYWA",32-061,"Czernichów, Przegina Duchowna","ul. Strażaków 5","WOJ. MAŁOPOLSKIE",2025-11-14
309/24,"P.P.H.U. Wanda Bojarska",42-271,Częstochowa,"ul. Wilgowa 67","WOJ. ŚLĄSKIE",2025-11-30
310/24,"MAGA Martyna Gąsiorowska",34-500,Zakopane,"ul. Podhalańska 42","WOJ. MAŁOPOLSKIE",2025-11-30
311/24,"P.H.U. ZACHĘTA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA",31-941,KRAKÓW,"ul. OSIEDLE KOLOROWE 33","WOJ. MAŁOPOLSKIE",2025-12-10
312/24,"GORZELNIA BORKOWSKI CHMIELEWSKI SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",08-108,"STARY BARTKÓW","STARY BARTKÓW 36","WOJ. MAZOWIECKIE",2025-10-31
313/24,"TANO DYSTRYBUCJA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",05-270,MARKI,"ul. OKÓLNA 45A","WOJ. MAZOWIECKIE",2025-11-23
314/24,"MATEUS  Spółka z ograniczoną odpowiedzialnością",05-091,Ząbki,"ul. Kazimierza Przerwy -Tetmajera 3 ","WOJ. MAZOWIECKIE",2025-12-04
315/24,"DĘBOWA POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA",64-212,SIEDLEC,"ul. WOLSZTYŃSKA 56","WOJ. WIELKOPOLSKIE",2025-12-31
316/24,"MONOLITH POLSKA Spółka z ograniczoną odpowiedzialnością",60-312,Poznań,"ul. Grunwaldzka 67","WOJ. WIELKOPOLSKIE",2025-10-30
317/24,"JERONIMO MARTINS POLSKA  Spółka Akcyjna",62-025,Kostrzyn,"ul. Żniwna 5 ","WOJ. WIELKOPOLSKIE",2025-11-16
318/24,"BAR MANAGEMENT CO SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",00-841,WARSZAWA,"ul. ŻELAZNA 51/53","WOJ. MAZOWIECKIE",2025-11-20
319/24,"KK POLSKA Spółka z ograniczoną odpowiedzialnością",84-230,Rumia,"ul. Działkowców 15/lok. DOK 50-51","WOJ. POMORSKIE",2025-11-30
320/24,"Przedsiębiorstwo Handlowo - Usługowe   ""MARCO""   Spółka z ograniczoną odpowiedzialnością",04-443,Warszawa,"ul. Ignacego Paderewskiego 108 A ","WOJ. MAZOWIECKIE",2025-12-05
321/24,"PASIEKA JAROS Spółka z ograniczoną odpowiedzialnością",97-200,"Tomaszów Mazowiecki","Łazisko 46","WOJ. ŁÓDZKIE",2025-12-09
322/24,"Gorzelnia Rolnicza - Andrzej Paszota",76-220,Główczyce,"Podole Wielkie 22","WOJ. POMORSKIE",2025-11-30
323/24,"FIRMA WIELOBRANŻOWA ""SUŻYW"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",34-200,"SUCHA BESKIDZKA","ul. NAD SKAWĄ 4","WOJ. MAŁOPOLSKIE",2025-12-17
324/24,"Jarosław Nowociel  Hurtownia Artykułów Spożywczych i Przemysłowych   Warszawska Wytwórnia Wódek   Koneser  ",05-660,Warka,"Grzegorzewice   17 ","WOJ. MAZOWIECKIE",2025-12-31
325/24,"TREND SPIRITS Spółka z ograniczoną odpowiedzialnością",26-600,Radom,"ul. Marii Fołtyn 11","WOJ. MAZOWIECKIE",2025-12-31
326/24,"OL PIW PAWEŁ OLSZEWSKI  Spółka Jawna",26-050,ZAGNAŃSK,"Kielecka 3/18","WOJ. ŚWIĘTOKRZYSKIE",2025-11-21
327/24,"Wokawit Dystrybucja  Ewa i Waldemar Woźniak  Spółka Jawna",64-810,Kaczory,"ul. Jasna 3 ","WOJ. WIELKOPOLSKIE",2025-11-24
328/24,"BRICK HOUSE Spółka z ograniczoną odpowiedzialnością",66-004,"Zielona Góra","ul. Racula-Głogowska 85","WOJ. LUBUSKIE",2025-11-30
329/24,"Lubawy Spółka z ograniczoną odpowiedzialnością",32-590,Libiąż,"ul. Leśna  73","WOJ. MAŁOPOLSKIE",2025-12-10
330/24,"PALUSZEK  M i P Piotr Paluch Spółka Komandytowa",87-100,Toruń,"ul. Podgórska 12A","WOJ. KUJAWSKO-POMORSKIE",2025-11-17
331/24,"Sklepy Kropla Spółka z ograniczoną odpowiedzialnością",02-241,Warszawa,"ul. Przedpole 1/lok.63","WOJ. MAZOWIECKIE",2025-11-19
332/24,"ARHELAN  Spółka z ograniczoną odpowiedzialnością",17-100,"Bielsk Podlaski","Aleja Józefa Piłsudskiego 45","WOJ. PODLASKIE",2026-01-14
333/24,"MARCO 2 Spółka Cywilna Marek Paska, Zdzisław Stachacz, Bartłomiej Paska",05-090,"Sękocin Nowy","ul. Al. Krakowska 18","WOJ. MAZOWIECKIE",2026-01-01
334/24,"Coca-Cola HBC Polska Spółka z ograniczoną odpowiedzialnością",02-092,Warszawa,"ul. Żwirki i Wigury 16","WOJ. MAZOWIECKIE",2025-12-26
335/24,"""BAKOMA"" Spółka z ograniczoną odpowiedzialnością",01-303,Warszawa,"ul. Połczyńska 97A","WOJ. MAZOWIECKIE",2025-12-31
336/24,"FIRMA MICHAŁOWSKI Spółka z ograniczoną odpowiedzialnością Spółka komandytowa",62-045,Pniewy,"ul. Lwówecka 15","WOJ. WIELKOPOLSKIE",2025-12-31
337/24,"NORTH COAST  Spółka Akcyjna",02-486,Warszawa,"Aleje Jerozolimskie 180","WOJ. MAZOWIECKIE",2025-11-24
338/24,"JONSTON DISTILLERY Spółka z ograniczoną odpowiedzialnością",64-100,Leszno,"ul. Geodetów 1","WOJ. WIELKOPOLSKIE",2025-12-05
339/24,"Przedsiębiorstwo Przemysłu Spirytusowego ""POLMOS"" w Warszawie Spółka Akcyjna",00-006,Warszawa,"ul. Szkolna 2/4","WOJ. MAZOWIECKIE",2025-12-31
340/24,"VITA Spółka z ograniczoną odpowiedzialnością",38-400,Krosno,"ul. Bieszczadzka 54","WOJ. PODKARPACKIE",2025-12-31
341/24,"ROSIEK & ROSIEK Spółka Komandytowa  Krzysztof i Przemysław Rosiek",56-500,Syców,"ul. Kaliska   7 ","WOJ. DOLNOŚLĄSKIE",2025-12-31
342/24,"JOB SERWIS - Karol Gryń",80-257,Gdańsk,"ul. Juliusza Słowackiego 67/63","WOJ. POMORSKIE",2025-12-01
343/24,"Przedsiębiorstwo Wielobranżowe MAX  Piotr Pajdosz",39-432,Gorzyce,"Motycze Poduchowne 95","WOJ. PODKARPACKIE",2025-12-09
344/24,"Destylarnia Podkarpacka Spółka z ograniczoną odpowiedzialnością",38-400,Krosno,"ul. Bolesława Prusa 70","WOJ. PODKARPACKIE",2025-12-17
345/24,"Grażyna Rupik PROFI",42-605,"Tarnowskie Góry","ul. Parkowa 34/5","WOJ. ŚLĄSKIE",2025-11-27
346/24,"""AMBRA""   SPÓŁKA AKCYJNA",02-819,Warszawa,"ul. Puławska 336 ","WOJ. MAZOWIECKIE",2026-01-03
347/24,"GME RESTAURACJE Spółka z ograniczoną odpowiedzialnością Spółka komandytowa",00-029,Warszawa,"ul. Nowy Świat 33/lok. 13","WOJ. MAZOWIECKIE",2025-11-30
348/24,"FHU Sławomir Lerch",64-400,Międzychów,"ul. Romana Ratajczaka 4","WOJ. WIELKOPOLSKIE",2025-12-04
349/24,"MAXYM GROUP Spółka  z ograniczoną odpowiedzialnością",00-844,Warszawa,"ul. Grzybowska 87","WOJ. MAZOWIECKIE",2025-11-24
350/24,"ALMA-ALPINEX Spółka z ograniczoną odpowiedzialnością",26-065,Piekoszów,"ul. Czarnowska 54F","WOJ. ŚWIĘTOKRZYSKIE",2025-12-09
351/24,"HENKELL FREIXENET POLSKA Spółka z ograniczoną odpowiedzialnością",87-100,Toruń,"ul. Mazowiecka 48 ","WOJ. KUJAWSKO-POMORSKIE",2025-12-31
352/24,"Piotr Wojtala",05-660,Warka,"ul. Grójecka 129","WOJ. MAZOWIECKIE",2025-12-16
353/24,"Firma Handlowo-Ustugowa ""PAIMAR"" Mariusz Drużba",07-130,Łochów,"ul. Ludwika Waryńskiego 19","WOJ. MAZOWIECKIE",2025-12-31
354/24,"Firma Handlowo-Usługowa ""MARO"" Robert Klimek",89-400,"Sępólno Krajeńskie","ul. Zakładowa 1","WOJ. KUJAWSKO-POMORSKIE",2025-12-13
355/24,"Infinitum Distribution Spółka z ograniczoną odpowiedzialnością",02-886,Warszawa,"ul. Jagielska 61B","WOJ. MAZOWIECKIE",2025-12-06
356/24,"PRZEDSIĘBIORSTWO WIELOBRANŻOWE ""BETA"" Spółka z ograniczoną odpowiedzialnością",98-220,"Zduńska Wola","ul. Opiesińska 30A","WOJ. ŁÓDZKIE",2026-01-03
357/24,"Grażyna Kukuczka Firma Handlowo-Usługowa",43-470,Istebna,"Istebna 1820","WOJ. ŚLĄSKIE",2025-12-02
358/24,"WHISKY AND MORE Spółka z ograniczoną odpowiedzialnością",40-048,Katowice,"ul. Tadeusza Kościuszki 43/10","WOJ. ŚLĄSKIE",2025-12-08
359/24,"SŁAWOMIR OPIŁA  TOAST",27-200,Starachowice,"ul. inż. Władysława Rogowskiego 7 ","WOJ. ŚWIĘTOKRZYSKIE",2026-01-03
360/24,"GIFT  Spółka z ograniczoną odpowiedzialnością",33-113,"Zbylitowska Góra","ul. Krakowska 1","WOJ. MAŁOPOLSKIE",2026-01-01
361/24,"Przedsiębiorstwo Handlowo-Produkcyjno-Usługowe ""WAGROMARKET"" Spółka z ograniczoną odpowiedzialnością",62-800,Kalisz,"Niedźwiady 42 ","WOJ. WIELKOPOLSKIE",2025-12-31
362/24,"Kraftowe Alkohole Spółka z ograniczoną odpowiedzialnością",43-346,Bielsko-Biała,"ul. Bestwińska 143","WOJ. ŚLĄSKIE",2025-12-29
363/24,"KONESER Spółka z ograniczoną odpowiedzialnością",83-200,"Starogard Gdański","Aleja Armii Krajowej 50","WOJ. POMORSKIE",2025-12-04
364/24,""" JOTMAR""    Spółka z ograniczoną odpowiedzialnością",64-510,Wronki,"ul. Mickiewicza  26 ","WOJ. WIELKOPOLSKIE",2026-01-03
365/24,"Makro Cash and Carry Polska  Spółka Akcyjna",02-486,Warszawa,"Aleje Jerozolimskie 186","WOJ. MAZOWIECKIE",2025-12-31
366/24,"Premium Distillers Spółka z ograniczoną odpowiedzialnością",00-728,Warszawa,"ul. Józefa Piusa Dziekońskiego 3 ","WOJ. MAZOWIECKIE",2025-12-31
367/24,"Familia Spółka z ograniczoną odpowiedzialnością",32-400,Myślenice,"ul. Juliusza Słowackiego 71","WOJ. MAŁOPOLSKIE",2025-12-31
368/24,"Moët Hennessy Polska Spółka z ograniczoną odpowiedzialnością",00-078,Warszawa,"Plac Marsz. Józefa Piłsudskiego 1","WOJ. MAZOWIECKIE",2026-01-15
369/24,"FLESCH POLSKA Spółka z ograniczoną odpowiedzialnością",05-830,"Nadarzyn, Rusiec","ul. Główna 56","WOJ. MAZOWIECKIE",2025-12-31
370/24,"REDOX Spółka z ograniczoną odpowiedzialnością",34-745,Spytkowice,"Spytkowice  427A ","WOJ. MAŁOPOLSKIE",2026-01-03
371/24,"ARTEX-HURT Spółka z ograniczoną odpowiedzialnością",06-500,Mława,"ul. Napoleońska 100 ","WOJ. MAZOWIECKIE",2026-01-03
372/24,"RR 11 Spółka z ograniczoną odpowiedzialnością Spółka komandytowo-akcyjna",82-500,Kwidzyn,"ul. Piastowska 39","WOJ. POMORSKIE",2025-12-31
373/24,"BOSS   Spółka z ograniczoną odpowiedzialnością",11-600,Węgorzewo,"ul. Przemysłowa 7 A ","WOJ. WARMIŃSKO-MAZURSKIE",2025-12-31
374/24,"ALEX   W. Adamczyk    Spółka Jawna",26-052,Nowiny,"ul. Przemysłowa 25 ","WOJ. ŚWIĘTOKRZYSKIE",2026-01-03
375/24,"""VITA IDEA” Spółka z ograniczoną odpowiedzialnością",93-348,Łódź,"ul. Demokratyczna 115/235D","WOJ. ŁÓDZKIE",2025-12-31
376/24,"Podlaska Wytwórnia Wódek   ""POLMOS""   Spółka Akcyjna",00-483,Warszawa,"ul. Frascati 12 ","WOJ. MAZOWIECKIE",2026-01-06
377/24,"AL. CAPONE Spółka z ograniczoną odpowiedzialnością",33-113,"Zbylitowska Góra","ul. Krakowska 1","WOJ. MAŁOPOLSKIE",2025-12-19
378/24,"CEDC INTERNATIONAL  Spółka z ograniczoną odpowiedzialnością",64-600,Oborniki,"ul. Kowanowska 48 ","WOJ. WIELKOPOLSKIE",2025-12-31
379/24,"WYBOROWA  Spółka  Akcyjna",61-070,Poznań,"ul. Janikowska 23 ","WOJ. WIELKOPOLSKIE",2025-12-31
380/24,"Arkadia Dystrybucja Stanisławczyk Nowakowski Spółka komandytowa",93-569,Łódź,"ul. Inżynierska 1/3","WOJ. ŁÓDZKIE",2026-01-01
381/24,"ARTISAN Spółka z ograniczoną odpowiedzialnością Spółka komandytowa",02-001,Warszawa,"Aleje Jerozolimskie 85/21","WOJ. MAZOWIECKIE",2025-12-19
382/24,"ALIANS GWÓŹDŹ Spółka jawna",40-642,Katowice,"ul. Spółdzielczości 31","WOJ. ŚLĄSKIE",2026-01-03
383/24,"LOGIMP Spółka z ograniczoną odpowiedzialnością",97-200,"Tomaszów Mazowiecki","ul. Główna 71","WOJ. ŁÓDZKIE",2025-12-31
384/24,"RUMTEX    Spółka z ograniczoną odpowiedzialnością",43-100,Tychy,"ul. Przemysłowa 74/A","WOJ. ŚLĄSKIE",2025-12-31
385/24,"Gminna Spółdzielnia ""SAMOPOMOC CHŁOPSKA""",64-360,Zbąszyń,"ul. Przysiółki 2","WOJ. WIELKOPOLSKIE",2026-01-03
386/24,"Team Spirit Whisky Spółka z ograniczoną odpowiedzialnością",01-625,Warszawa,"ul. Adama Mickiewicza 37/58","WOJ. MAZOWIECKIE",2025-12-11
387/24,"Alfa Trade Company Spółka z ograniczoną odpowiedzialnością",04-564,Warszawa,"ul. Józefa Strusia 5","WOJ. MAZOWIECKIE",2026-01-14
388/24,"Oktan Energy - Wina  Spółka z ograniczoną odpowiedzialnością",70-606,Szczecin,"ul. Hryniewieckiego 1","WOJ. ZACHODNIOPOMORSKIE",2025-12-15
389/24,"MILLE SAPORI PLUS  Spółka z ograniczoną odpowiedzialnością",02-495,Warszawa,"ul. Kazimierza Gierdziejewskiego 7 ","WOJ. MAZOWIECKIE",2026-01-21
390/24,"Semkowicz i Bogoń Spółka z ograniczoną odpowiedzialnością",05-071,Sulejówek,"ul. Starych Dębów 3A","WOJ. MAZOWIECKIE",2026-01-14
391/24,"""HURTOWNIA PIAST""   Spółka z ograniczoną odpowiedzialnością",58-100,Świdnica,"ul. Hetmańska   6 ","WOJ. DOLNOŚLĄSKIE",2026-01-03
392/24,"NAVIGATOR M.Pilaciński Spółka komandytowa",03-236,Warszawa,"ul. Annopol 3","WOJ. MAZOWIECKIE",2025-12-31
393/24,"MV GROUP DISTRIBUTION PL Spółka z ograniczoną odpowiedzialnością",03-236,Warszawa,"ul. Annopol 22","WOJ. MAZOWIECKIE",2025-12-31
394/24,"""PIWO - POL""  Spółka z ograniczoną odpowiedzialnością",21-040,Świdnik,"ul. Mełgiewska   13 ","WOJ. LUBELSKIE",2026-01-03
395/24,"MARIOTT   Spółka z ograniczoną odpowiedzialnością",93-231,Łódź,"ul. Dąbrowskiego 247/249 ","WOJ. ŁÓDZKIE",2026-01-03
396/24,"FRAC DETAL Spółka z ograniczoną odpowiedzialnością",35-959,Rzeszów,"ul. Lwowska 6","WOJ. PODKARPACKIE",2026-01-06
397/24,"""LUX"" Hurtownia Artykułów Spożywczych  Grażyna Kwiatkowska",87-820,Kowal,"ul. Kazimierza Wielkiego 43","WOJ. KUJAWSKO-POMORSKIE",2026-01-03
398/24,"""POLOMARKET""   Spółka z ograniczoną odpowiedzialnością",88-170,Pakość,"Giebnia  20 ","WOJ. KUJAWSKO-POMORSKIE",2026-01-24
399/24,"GIN DOM MAGDALENA COSTA",43-227,Gilowice,"ul. Wojciecha Korfantego 116","WOJ. ŚLĄSKIE",2025-12-30
400/24,"""BROWN - FORMAN POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ""",02-676,Warszawa,"ul. Postępu 21D","WOJ. MAZOWIECKIE",2025-12-31
401/24,"KMK DYSTRYBUCJA I HANDEL KRZYSZTOF MROCZEK",09-400,Płock,"ul. Bielska 61","WOJ. MAZOWIECKIE",2026-01-03
402/24,"PILOT D&S Spółka z ograniczoną odpowiedzialnością Spółka komandytowa",03-310,Warszawa,"ul. Staniewicka 5","WOJ. MAZOWIECKIE",2026-01-13
403/24,"OTWOCKA SPÓŁDZIELNIA HANDLOWA",05-400,Otwock,"ul. Świderska 2/4","WOJ. MAZOWIECKIE",2025-12-31
404/24,"FIRMA MARCINIAK ŁUKASZ MARCINIAK",05-100,"Nowy Dwór Mazowiecki","ul. Towarowa 1","WOJ. MAZOWIECKIE",2026-01-25
405/24,"BENE   Spółka z ograniczoną odpowiedzialnością",64-010,Lubiń,"ul. A.Mickiewicza 6 ","WOJ. WIELKOPOLSKIE",2026-01-16
406/24,"""SPOŁEM""  Powszechna Spółdzielnia Spożywców w Lubaniu",59-800,Lubań,"ul. Tkacka 27 ","WOJ. DOLNOŚLĄSKIE",2026-01-31
407/24,"""SCA  PR POLSKA""   Spółka z ograniczoną odpowiedzialnością",62-080,"Tarnowo Podgórne, Swadzim","ul. Św. Mikołaja 5 ","WOJ. WIELKOPOLSKIE",2026-01-17
408/24,"P. H.U. JOLMAR MARIA GÓRECKA ",09-200,Sierpc,"ul. Romualda Traugutta 24","WOJ. MAZOWIECKIE",2026-01-31
409/24,"Bayadera Poland Spółka z ograniczoną odpowiedzialnością",02-054,Warszawa,"ul. Jana Dantyszka 18","WOJ. MAZOWIECKIE",2026-01-17
410/24,"NATURA SYSTEM  Grażyna i Grzegorz Maciantowicz  Spółka Jawna",41-704,"Ruda Śląska","ul. Jesionowa 22 ","WOJ. ŚLĄSKIE",2025-12-31
411/24,"NALEWKIKRESOWE.PL  Stanisław Smarduch",49-200,Grodków,"ul. Wrocławska 63 ","WOJ. OPOLSKIE",2026-01-04
412/24,"Powszechna Spółdzielnia Spożywców    ""SPOŁEM""  w Białymstoku",15-950,Białystok,"ul. Rynek Kościuszki 15 ","WOJ. PODLASKIE",2026-01-31
413/24,"The Last Port Spółka z ograniczoną odpowiedzialnością Spółka komandytowa",81-350,Gdynia,"ul. Portowa 5/1","WOJ. POMORSKIE",2026-01-30
414/24,"Dariusz Frączek PR CONSULTANTS",54-142,Wrocław,"ul. Dokerska 48","WOJ. DOLNOŚLĄSKIE",2025-12-26
415/24,"MUNDIVIE Spółka Akcyjna",43-385,Jasienica,"Jasienica 607 ","WOJ. ŚLĄSKIE",2026-01-31
416/24,"LOBO Spółka z ograniczoną odpowiedzialnością",31-588,Kraków,"ul. Isep 9","WOJ. MAŁOPOLSKIE",2026-01-31
417/24,"""INTERBIS"" Marek Kwaśniak",27-400,"Ostrowiec Świętokrzyski","ul. Jana Kilińskiego 49","WOJ. ŚWIĘTOKRZYSKIE",2026-01-09
418/24,"ROMUALD MADZIĄG FIRMA ""ROMULUS""",77-100,Bytów,"ul. Przemysłowa 2B","WOJ. POMORSKIE",2025-12-31
419/24,"Bieszczadzkie Smaki Spółka z ograniczoną odpowiedzialnością",38-543,Komańcza,"Wola Michowa 7","WOJ. PODKARPACKIE",2025-12-29
420/24,"POSEJDON-ADAMUS Spółka z ograniczoną odpowiedzialnością",90-135," Łódź","ul. Prezydenta Gabriela Narutowicza 40/1","WOJ. ŁÓDZKIE",2026-01-03
1/25,"LONGINA  SPRYSZAK  FIRMA  HANDLOWA",23-225,Szastarka,"Polichna Pierwsza 14","WOJ. LUBELSKIE",2026-01-19
2/25,"Hemar Dystrybucja Spółka z ograniczoną odpowiedzialnością",62-650,Kłodawa,"ul. Łęczycka 11A","WOJ. WIELKOPOLSKIE",2026-01-31
3/25,"TESSELLIS DISTILLERY Spółka z ograniczoną odpowiedzialnością",44-153,Sośnicowice,"ul. Kozielska 2","WOJ. ŚLĄSKIE",2026-02-03
4/25,"MILER SPIRITS Spółka z ograniczoną odpowiedzialnością",61-829,Poznań,"ul. Podgórna 4","WOJ. WIELKOPOLSKIE",2026-01-16
5/25,"Firma Handlowo-Usługowa ""GASPARO"" Marek Rams",32-340,Wolbrom,"Kąpiele Wielkie 168A","WOJ. MAŁOPOLSKIE",2026-01-31
6/25,"Manufaktura Kapucynów Spółka z ograniczoną odpowiedzialnością",31-114,Kraków,"ul. Loretańska 11","WOJ. MAŁOPOLSKIE",2026-01-31
7/25,"Kaprys Polski Sklep Spółka z ograniczoną odpowiedzialnością",58-200,Dzierżoniów,"Osiedle Błekitne 27","WOJ. DOLNOŚLĄSKIE",2026-01-14
8/25,"Wódki Regionalne   Spółka z ograniczoną odpowiedzialnością",43-370,Szczyrk,"ul. Myśliwska 74","WOJ. ŚLĄSKIE",2026-01-31
10/25,"RIBENA  Spółka z ograniczoną odpowiedzialnością",83-340,Sierakowice,"Wygoda Sierakowska 208","WOJ. POMORSKIE",2026-02-01
12/25,"""WIZ"" Spółka z ograniczoną odpowiedzialnością",09-200,Sierpc,"ul. Instalatorów 3B","WOJ. MAZOWIECKIE",2026-01-31
13/25,"Przedsiębiorstwo Produkcyjno Usługowo Handlowe ""SIMS"" Sylwester Siatkowski",64-920,Piła,"ul. Żeromskiego 83","WOJ. WIELKOPOLSKIE",2026-01-31
18/25,"Mazurska Manufaktura Spółka Akcyjna",12-100,Szczytno,"ul. Adama Mickiewicza 5","WOJ. WARMIŃSKO-MAZURSKIE",2026-01-21
22/25,"MAXIM DYSTRYBUCJA Spółka z ograniczoną odpowiedzialnością",08-400,Garwolin,"ul. Parysowska 2 ","WOJ. MAZOWIECKIE",2026-01-21
24/25,"WOLF AND OAK DISTILLERY  Spółka Akcyjna",80-864,Gdańsk,"ul. Jana z Kolna 11","WOJ. POMORSKIE",2026-01-31
27/25,"IRJAN Spółka z ograniczoną odpowiedzialnością Spółka komandytowa",63-600,Kępno,"Mianowice 1G","WOJ. WIELKOPOLSKIE",2026-01-31
31/25,"MAŁEK HURT Paweł Małkowski",09-412,"Stare Proboszczewice","ul. Stefana Mazowieckiego 18","WOJ. MAZOWIECKIE",2026-01-31
35/25,"DRAKE Spółka z ograniczoną odpowiedzialnością",64-060,Wolkowo,"Maksymilianowo 40","WOJ. WIELKOPOLSKIE",2026-01-31
